duration,event_id,memory_spike_kb,record,source,time,timestamp,type
,,,"{'requestId': '0adcc158-e2f2-4d30-b98b-ec990a42da19', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '4acf64d12eda9208', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2ae-34c0a9d9445e6d490b699c67;Parent=33231b3bdbbef719;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:49:34.404Z,,platform.start
,,,"{'requestId': '0adcc158-e2f2-4d30-b98b-ec990a42da19', 'metrics': {'durationMs': 7.35, 'billedDurationMs': 8, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '4acf64d12eda9208', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2ae-34c0a9d9445e6d490b699c67;Parent=33231b3bdbbef719;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:49:34.412Z,,platform.report
,,,"{'requestId': '4d68915d-368d-4f7d-ac66-74dd59edafa5', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '7538c9e5ca3a8379', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2ba-0a52c2c9011f56f81718c69a;Parent=69f0ee17c7f68c55;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:49:46.163Z,,platform.start
,,,"{'requestId': '4d68915d-368d-4f7d-ac66-74dd59edafa5', 'metrics': {'durationMs': 1.207, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '7538c9e5ca3a8379', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2ba-0a52c2c9011f56f81718c69a;Parent=69f0ee17c7f68c55;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:49:46.165Z,,platform.report
,,,"{'requestId': '2377a3a8-b493-4545-bcb8-67acf6f4c6fb', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '1a484a511edc66ff', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2bb-517768531499dabb7470934a;Parent=3f9e5a105baefda8;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:49:47.516Z,,platform.start
,,,"{'requestId': '2377a3a8-b493-4545-bcb8-67acf6f4c6fb', 'metrics': {'durationMs': 1.21, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '1a484a511edc66ff', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2bb-517768531499dabb7470934a;Parent=3f9e5a105baefda8;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:49:47.517Z,,platform.report
,,,"{'requestId': '5a45e241-7da1-443d-a24e-3ad353579497', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'ed37759fe86659d7', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2bc-77323de4188b067866e680f8;Parent=16299582dee0847e;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:49:48.701Z,,platform.start
,,,"{'requestId': '5a45e241-7da1-443d-a24e-3ad353579497', 'metrics': {'durationMs': 1.156, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': 'ed37759fe86659d7', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f2bc-77323de4188b067866e680f8;Parent=16299582dee0847e;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:49:48.702Z,,platform.report
,,,"{'requestId': '23134896-d947-4bc5-8a05-b0fcced7cb6e', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '5408ddf9d45b16e4', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3a5-735a88144a6e72066baa6bea;Parent=58219dcafd35954f;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:53:41.703Z,,platform.start
,,,"{'requestId': '23134896-d947-4bc5-8a05-b0fcced7cb6e', 'metrics': {'durationMs': 10.666, 'billedDurationMs': 11, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '5408ddf9d45b16e4', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3a5-735a88144a6e72066baa6bea;Parent=58219dcafd35954f;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:53:41.715Z,,platform.report
,,,"{'requestId': '41623689-8d63-4c0e-9bb2-9ca5e3c7ba6f', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '13cf6717a70007e7', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3a7-5e835fd84ab7966f554f246f;Parent=54fb7a0bcba6afc6;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:53:44.017Z,,platform.start
,,,"{'requestId': '41623689-8d63-4c0e-9bb2-9ca5e3c7ba6f', 'metrics': {'durationMs': 1.411, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '13cf6717a70007e7', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3a7-5e835fd84ab7966f554f246f;Parent=54fb7a0bcba6afc6;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:53:44.033Z,,platform.report
,,,"{'requestId': 'fbd38ae7-31d6-4bba-af64-a3b93ecfa11a', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'ca7a1817c407b0d7', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3a9-0c8886cf0e9b21ec4187485b;Parent=27514584270e6393;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:53:45.314Z,,platform.start
,,,"{'requestId': 'fbd38ae7-31d6-4bba-af64-a3b93ecfa11a', 'metrics': {'durationMs': 1.243, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': 'ca7a1817c407b0d7', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3a9-0c8886cf0e9b21ec4187485b;Parent=27514584270e6393;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:53:45.316Z,,platform.report
,,,"{'requestId': '194c11be-a6b6-442b-a39c-14b31bab464f', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '84a7a6803b370bfc', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3aa-306d23b84a33f944333cb85e;Parent=77a5281e8290faa7;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:53:46.568Z,,platform.start
,,,"{'requestId': '194c11be-a6b6-442b-a39c-14b31bab464f', 'metrics': {'durationMs': 1.146, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '84a7a6803b370bfc', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890f3aa-306d23b84a33f944333cb85e;Parent=77a5281e8290faa7;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:53:46.570Z,,platform.report
1.715,3291e007-b27b-4cdc-acfa-8b34ea5a2dcf,7812,,scafad-lambda,,1754331187.4218857,
1.74,ccccda79-daf0-431c-bc07-5701e25a57c8,7812,,scafad-lambda,,1754333808.0795994,
1.363,9ed2188b-7ce6-4bae-9f4d-d2ece278b449,7812,,scafad-lambda,,1754333819.8375492,
